Time (ms),Device,Action,Details
1709642790091,Keyboard,Press,Key: alt
1709642791064,Keyboard,Press,Key: f4
1709642791206,Keyboard,Release,Key: f4
1709642791298,Keyboard,Release,Key: alt
1709642801579,Keyboard,Press,Key: c
1709642801628,Keyboard,Release,Key: c
1709642801947,Keyboard,Press,Key: v
1709642802041,Keyboard,Release,Key: v
1709642802182,Keyboard,Press,Key: b
1709642802243,Keyboard,Release,Key: b
1709642802301,Keyboard,Press,Key: n
1709642802374,Keyboard,Release,Key: n
1709642802375,Keyboard,Press,Key: m
1709642802451,Keyboard,Release,Key: m
1709642802568,Keyboard,Press,"Key: ,"
1709642802659,Keyboard,Press,Key: .
1709642802711,Keyboard,Release,"Key: ,"
1709642802753,Keyboard,Press,Key: space
1709642802794,Keyboard,Release,Key: .
1709642802853,Keyboard,Release,Key: space
1709642803003,Keyboard,Press,Key: /
1709642803087,Keyboard,Release,Key: /
1709642803330,Keyboard,Press,Key: 1
1709642803417,Keyboard,Release,Key: 1
1709642803448,Keyboard,Press,Key: 2
1709642803524,Keyboard,Release,Key: 2
1709642803583,Keyboard,Press,Key: 3
1709642803683,Keyboard,Release,Key: 3
1709642804044,Keyboard,Press,Key: down
1709642804102,Keyboard,Release,Key: down
1709642804320,Keyboard,Press,Key: enter
1709642804379,Keyboard,Release,Key: enter
1709642806156,Keyboard,Press,Key: space
1709642806231,Keyboard,Release,Key: space
1709642806778,Keyboard,Press,Key: 4
1709642806860,Keyboard,Release,Key: 4
1709642807103,Keyboard,Press,Key: 5
1709642807204,Keyboard,Press,Key: 6
1709642807246,Keyboard,Release,Key: 5
1709642807314,Keyboard,Release,Key: 6
1709642807606,Keyboard,Press,Key: 7
1709642807690,Keyboard,Release,Key: 7
1709642807858,Keyboard,Press,Key: 8
1709642807917,Keyboard,Release,Key: 8
1709642808069,Keyboard,Press,Key: down
1709642808143,Keyboard,Release,Key: down
1709642808344,Keyboard,Press,Key: enter
1709642808420,Keyboard,Release,Key: enter
1709642867570,Keyboard,Press,Key: space
1709642867663,Keyboard,Release,Key: space
1709642868376,Keyboard,Press,Key: space
1709642868469,Keyboard,Release,Key: space
1709642868903,Keyboard,Press,Key: space
1709642868980,Keyboard,Release,Key: space
1709642893433,Keyboard,Press,Key: space
1709642893491,Keyboard,Release,Key: space
1709642895204,Keyboard,Press,Key: space
1709642895262,Keyboard,Release,Key: space
1709642913849,Keyboard,Press,Key: w
1709642914368,Keyboard,Release,Key: w
1709642914561,Keyboard,Press,Key: w
1709642914704,Keyboard,Press,Key: shift
1709642914772,Keyboard,Release,Key: shift
1709642916867,Keyboard,Release,Key: w
1709642919918,Keyboard,Press,Key: m
1709642919976,Keyboard,Release,Key: m
1709642933323,Keyboard,Press,Key: esc
1709642933421,Keyboard,Release,Key: esc
1709642934386,Keyboard,Press,Key: esc
1709642934428,Keyboard,Release,Key: esc
1709642935744,Keyboard,Press,Key: alt
1709642935872,Keyboard,Press,Key: z
1709642936029,Keyboard,Release,Key: z
1709642936063,Keyboard,Release,Key: alt
1709642941949,Keyboard,Press,Key: w
1709642942712,Keyboard,Press,Key: shift
1709642942797,Keyboard,Release,Key: shift
1709642942888,Keyboard,Press,Key: shift
1709642943381,Keyboard,Press,Key: D
1709642943524,Keyboard,Release,Key: D
1709642944288,Keyboard,Release,Key: shift
1709642944430,Keyboard,Press,Key: shift
1709642944505,Keyboard,Release,Key: shift
1709642944614,Keyboard,Press,Key: shift
1709642948145,Keyboard,Press,Key: D
1709642948256,Keyboard,Release,Key: D
1709642948951,Keyboard,Press,Key: A
1709642949041,Keyboard,Release,Key: A
1709642949117,Keyboard,Release,Key: shift
1709642949209,Keyboard,Release,Key: w
1709642951431,Keyboard,Press,Key: w
1709642952186,Keyboard,Press,Key: shift
1709642952296,Keyboard,Release,Key: shift
1709642952413,Keyboard,Press,Key: shift
1709642953788,Keyboard,Release,Key: shift
1709642953838,Keyboard,Release,Key: w
1709642958702,Keyboard,Press,Key: w
1709642959348,Keyboard,Press,Key: a
1709642959389,Keyboard,Release,Key: a
1709642960664,Keyboard,Press,Key: shift
1709642960748,Keyboard,Release,Key: shift
1709642960848,Keyboard,Press,Key: shift
1709642962869,Keyboard,Press,Key: D
1709642963028,Keyboard,Release,Key: D
1709642963524,Keyboard,Press,Key: D
1709642963598,Keyboard,Release,Key: D
1709642963909,Keyboard,Press,Key: D
1709642964026,Keyboard,Release,Key: D
1709642965084,Keyboard,Press,Key: A
1709642965191,Keyboard,Release,Key: A
1709642965754,Keyboard,Press,Key: A
1709642965921,Keyboard,Release,Key: A
1709642966181,Keyboard,Press,Key: D
1709642966450,Keyboard,Release,Key: D
1709642966852,Keyboard,Press,Key: A
1709642966977,Keyboard,Release,Key: A
1709642967279,Keyboard,Press,Key: A
1709642967414,Keyboard,Release,Key: A
1709642967615,Keyboard,Press,Key: A
1709642967740,Keyboard,Release,Key: A
1709642967833,Keyboard,Release,Key: shift
1709642968948,Keyboard,Press,Key: shift
1709642969057,Keyboard,Release,Key: shift
1709642969149,Keyboard,Press,Key: shift
1709642970842,Keyboard,Press,Key: A
1709642971003,Keyboard,Release,Key: A
1709642971774,Keyboard,Press,Key: A
1709642971858,Keyboard,Release,Key: A
1709642972160,Keyboard,Press,Key: A
1709642972269,Keyboard,Release,Key: A
1709642972739,Keyboard,Press,Key: D
1709642972940,Keyboard,Release,Key: D
1709642973250,Keyboard,Press,Key: D
1709642973376,Keyboard,Release,Key: D
1709642973728,Keyboard,Press,Key: D
1709642973904,Keyboard,Release,Key: D
1709642974139,Keyboard,Press,Key: D
1709642974324,Keyboard,Release,Key: D
1709642974593,Keyboard,Press,Key: D
1709642974743,Keyboard,Release,Key: D
1709642974996,Keyboard,Press,Key: D
1709642975188,Keyboard,Release,Key: D
1709642975374,Keyboard,Press,Key: D
1709642975474,Keyboard,Release,Key: D
1709642975976,Keyboard,Press,Key: D
1709642976043,Keyboard,Release,Key: D
1709642976303,Keyboard,Release,Key: shift
1709642976605,Keyboard,Press,Key: a
1709642976730,Keyboard,Release,Key: a
1709642977334,Keyboard,Press,Key: shift
1709642977486,Keyboard,Release,Key: shift
1709642977552,Keyboard,Press,Key: shift
1709642977904,Keyboard,Press,Key: D
1709642978083,Keyboard,Release,Key: D
1709642978719,Keyboard,Press,Key: A
1709642978928,Keyboard,Release,Key: A
1709642979038,Keyboard,Press,Key: A
1709642979246,Keyboard,Release,Key: A
1709642980009,Keyboard,Release,Key: shift
1709642980059,Keyboard,Press,Key: a
1709642980143,Keyboard,Release,Key: w
1709642980153,Keyboard,Release,Key: a
1709642980613,Keyboard,Press,Key: m
1709642980663,Keyboard,Release,Key: m
1709642988177,Keyboard,Press,Key: esc
1709642988261,Keyboard,Release,Key: esc
1709642989234,Keyboard,Press,Key: esc
1709642989275,Keyboard,Release,Key: esc
1709642989735,Keyboard,Press,Key: w
1709642990272,Keyboard,Press,Key: shift
1709642990349,Keyboard,Release,Key: shift
1709642990457,Keyboard,Press,Key: shift
1709642992100,Keyboard,Press,Key: A
1709642992597,Keyboard,Release,Key: A
1709642993484,Keyboard,Press,Key: A
1709642993543,Keyboard,Release,Key: A
1709642993980,Keyboard,Press,Key: D
1709642994055,Keyboard,Release,Key: D
1709642995028,Keyboard,Press,Key: D
1709642995120,Keyboard,Release,Key: D
1709642996814,Keyboard,Press,Key: D
1709642997468,Keyboard,Release,Key: D
1709642997720,Keyboard,Press,Key: A
1709642997963,Keyboard,Release,Key: A
1709642998676,Keyboard,Press,Key: D
1709642998718,Keyboard,Release,Key: D
1709642999196,Keyboard,Press,Key: D
1709642999364,Keyboard,Release,Key: D
1709642999741,Keyboard,Press,Key: A
1709643000177,Keyboard,Release,Key: A
1709643000589,Keyboard,Press,Key: A
1709643000782,Keyboard,Release,Key: A
1709643000991,Keyboard,Press,Key: D
1709643001728,Keyboard,Release,Key: D
1709643002207,Keyboard,Press,Key: D
1709643002383,Keyboard,Release,Key: D
1709643002736,Keyboard,Press,Key: A
1709643003307,Keyboard,Release,Key: A
1709643003348,Keyboard,Press,Key: D
