Time (ms),Device,Action,Details
1708706149336,Mouse,Move,"X: -162, Y: 70"
1708706149437,Mouse,Move,"X: -473, Y: 422"
1708706149537,Mouse,Move,"X: -709, Y: 773"
1708706149637,Mouse,Move,"X: -727, Y: 836"
1708706149738,Mouse,Move,"X: -812, Y: 921"
1708706149838,Mouse,Move,"X: -851, Y: 1000"
1708706149939,Mouse,Move,"X: -929, Y: 1034"
1708706150039,Mouse,Move,"X: -928, Y: 1031"
1708706150140,Mouse,Move,"X: -918, Y: 1024"
1708706150241,Mouse,Move,"X: -904, Y: 1006"
1708706150341,Mouse,Move,"X: -872, Y: 976"
1708706150442,Mouse,Move,"X: -868, Y: 965"
1708706150543,Mouse,Move,"X: -883, Y: 982"
1708706150643,Mouse,Move,"X: -893, Y: 1003"
1708706150745,Mouse,Move,"X: -893, Y: 1013"
1708706150845,Mouse,Move,"X: -883, Y: 1010"
1708706150945,Mouse,Move,"X: -878, Y: 1006"
1708706151046,Mouse,Move,"X: -878, Y: 1005"
1708706151147,Mouse,Move,"X: -878, Y: 1005"
1708706151248,Mouse,Move,"X: -878, Y: 1005"
1708706151349,Mouse,Move,"X: -878, Y: 1005"
1708706151450,Mouse,Move,"X: -878, Y: 1005"
1708706151551,Mouse,Move,"X: -878, Y: 1005"
1708706151651,Mouse,Move,"X: -878, Y: 1005"
1708706151752,Mouse,Move,"X: -878, Y: 1005"
1708706151853,Mouse,Move,"X: -878, Y: 1005"
1708706151954,Mouse,Move,"X: -878, Y: 1005"
1708706152054,Mouse,Move,"X: -878, Y: 1005"
1708706152155,Mouse,Move,"X: -878, Y: 1005"
1708706152256,Mouse,Move,"X: -878, Y: 1005"
1708706152356,Mouse,Move,"X: -878, Y: 1005"
1708706152457,Mouse,Move,"X: -878, Y: 1005"
1708706152558,Mouse,Move,"X: -878, Y: 1005"
1708706152659,Mouse,Move,"X: -878, Y: 1005"
1708706152759,Mouse,Move,"X: -878, Y: 1005"
1708706152859,Mouse,Move,"X: -878, Y: 1005"
1708706152960,Mouse,Move,"X: -878, Y: 1005"
1708706153060,Mouse,Move,"X: -878, Y: 1005"
1708706153161,Mouse,Move,"X: -878, Y: 1005"
1708706153262,Mouse,Move,"X: -878, Y: 1005"
1708706153363,Mouse,Move,"X: -878, Y: 1005"
1708706153463,Mouse,Move,"X: -878, Y: 1005"
1708706153564,Mouse,Move,"X: -878, Y: 1005"
1708706153664,Mouse,Move,"X: -878, Y: 1005"
1708706153764,Mouse,Move,"X: -878, Y: 1005"
1708706153865,Mouse,Move,"X: -878, Y: 1005"
1708706153965,Mouse,Move,"X: -878, Y: 1005"
1708706154066,Mouse,Move,"X: -878, Y: 1005"
1708706154166,Mouse,Move,"X: -878, Y: 1005"
1708706154267,Mouse,Move,"X: -878, Y: 1005"
1708706154367,Mouse,Move,"X: -878, Y: 1005"
1708706154468,Mouse,Move,"X: -878, Y: 1005"
1708706154569,Mouse,Move,"X: -878, Y: 1005"
1708706154669,Mouse,Move,"X: -878, Y: 1005"
1708706154770,Mouse,Move,"X: -878, Y: 1005"
1708706154870,Mouse,Move,"X: -878, Y: 1005"
1708706154970,Mouse,Move,"X: -878, Y: 1005"
1708706155071,Mouse,Move,"X: -878, Y: 1005"
1708706155171,Mouse,Move,"X: -878, Y: 1005"
1708706155272,Mouse,Move,"X: -878, Y: 1005"
1708706155373,Mouse,Move,"X: -878, Y: 1005"
1708706155473,Mouse,Move,"X: -878, Y: 1005"
1708706155573,Mouse,Move,"X: -878, Y: 1005"
1708706155673,Mouse,Move,"X: -878, Y: 1005"
1708706155773,Mouse,Move,"X: -878, Y: 1005"
1708706155873,Mouse,Move,"X: -878, Y: 1005"
1708706155973,Mouse,Move,"X: -878, Y: 1005"
1708706156074,Mouse,Move,"X: -878, Y: 1005"
1708706156175,Mouse,Move,"X: -878, Y: 1005"
1708706156275,Mouse,Move,"X: -878, Y: 1005"
1708706156376,Mouse,Move,"X: -878, Y: 1005"
1708706156476,Mouse,Move,"X: -878, Y: 1005"
1708706156577,Mouse,Move,"X: -878, Y: 1005"
1708706156677,Mouse,Move,"X: -878, Y: 1005"
1708706156777,Mouse,Move,"X: -878, Y: 1005"
1708706156878,Mouse,Move,"X: -878, Y: 1005"
1708706156978,Mouse,Move,"X: -878, Y: 1005"
1708706157079,Mouse,Move,"X: -878, Y: 1005"
1708706157179,Mouse,Move,"X: -878, Y: 1005"
1708706157280,Mouse,Move,"X: -878, Y: 1005"
1708706157380,Mouse,Move,"X: -878, Y: 1005"
1708706157481,Mouse,Move,"X: -878, Y: 1005"
1708706157581,Mouse,Move,"X: -878, Y: 1005"
1708706157682,Mouse,Move,"X: -878, Y: 1005"
1708706157782,Mouse,Move,"X: -878, Y: 1005"
1708706157882,Mouse,Move,"X: -878, Y: 1005"
1708706157982,Mouse,Move,"X: -878, Y: 1005"
1708706158083,Mouse,Move,"X: -878, Y: 1005"
