Time (ms),Device,Action,Details
1747483266941,Keyboard,Press,Key: alt
1747483267194,Keyboard,Press,Key: z
1747483267352,Keyboard,Release,Key: z
1747483267444,Keyboard,Release,Key: alt
1747483280427,Keyboard,Press,Key: esc
1747483280486,Keyboard,Release,Key: esc
1747483323940,Keyboard,Press,Key: alt
1747483324098,Keyboard,Press,Key: z
1747483324225,Keyboard,Release,Key: z
1747483324258,Keyboard,Release,Key: alt
1747483329649,Keyboard,Press,Key: left windows
1747483329707,Keyboard,Release,Key: left windows
1747483356025,Keyboard,Press,Key: space
1747483356142,Keyboard,Release,Key: space
1747483369864,Keyboard,Press,Key: alt
1747483370554,Keyboard,Press,Key: z
1747483370694,Keyboard,Release,Key: alt
1747483370695,Keyboard,Release,Key: z
1747483405348,Keyboard,Press,Key: space
1747483405432,Keyboard,Release,Key: space
1747483406280,Keyboard,Press,Key: space
1747483407003,Keyboard,Release,Key: space
1747483407757,Keyboard,Press,Key: space
1747483409595,Keyboard,Release,Key: space
1747483412601,Keyboard,Press,Key: w
1747483412703,Keyboard,Release,Key: w
1747483412835,Keyboard,Press,Key: e
1747483413843,Keyboard,Release,Key: e
1747483430124,Keyboard,Press,Key: w
1747483430441,Keyboard,Press,Key: a
1747483430551,Keyboard,Release,Key: a
1747483430661,Keyboard,Release,Key: w
1747483430711,Keyboard,Press,Key: w
1747483430778,Keyboard,Release,Key: w
1747483430988,Keyboard,Press,Key: e
1747483435688,Keyboard,Release,Key: e
1747483436789,Keyboard,Press,Key: w
1747483437669,Keyboard,Press,Key: a
1747483438524,Keyboard,Release,Key: w
1747483438903,Keyboard,Press,Key: w
1747483439237,Keyboard,Release,Key: a
1747483439507,Keyboard,Press,Key: shift
1747483440019,Keyboard,Press,Key: a
1747483440211,Keyboard,Release,Key: a
1747483441009,Keyboard,Release,Key: shift
1747483442361,Keyboard,Press,Key: d
1747483442562,Keyboard,Release,Key: d
1747483443544,Keyboard,Press,Key: shift
1747483445650,Keyboard,Press,Key: d
1747483445793,Keyboard,Release,Key: w
1747483445877,Keyboard,Press,Key: w
1747483445936,Keyboard,Release,Key: w
1747483446297,Keyboard,Press,Key: w
1747483446473,Keyboard,Release,Key: d
1747483447245,Keyboard,Press,Key: d
1747483447472,Keyboard,Release,Key: d
1747483447840,Keyboard,Release,Key: shift
1747483448470,Keyboard,Release,Key: w
1747483449117,Keyboard,Press,Key: w
1747483449343,Keyboard,Press,Key: shift
1747483451443,Keyboard,Press,Key: d
1747483451543,Keyboard,Release,Key: d
1747483451686,Keyboard,Release,Key: shift
1747483452776,Keyboard,Release,Key: w
1747483453289,Keyboard,Press,Key: w
1747483454305,Keyboard,Press,Key: d
1747483455245,Keyboard,Release,Key: d
1747483456637,Keyboard,Release,Key: w
1747483457327,Keyboard,Press,Key: w
1747483459359,Keyboard,Press,Key: a
1747483460046,Keyboard,Release,Key: a
1747483461515,Keyboard,Release,Key: w
1747483461841,Keyboard,Press,Key: w
1747483462622,Keyboard,Press,Key: shift
1747483463454,Keyboard,Press,Key: d
1747483463773,Keyboard,Release,Key: d
1747483464451,Keyboard,Press,Key: d
1747483464611,Keyboard,Release,Key: d
1747483465013,Keyboard,Press,Key: d
1747483465190,Keyboard,Release,Key: d
1747483465693,Keyboard,Press,Key: d
1747483465870,Keyboard,Release,Key: d
1747483465929,Keyboard,Release,Key: shift
1747483466004,Keyboard,Release,Key: w
1747483467171,Keyboard,Press,Key: space
1747483467271,Keyboard,Release,Key: space
1747483468086,Keyboard,Press,Key: e
1747483468825,Keyboard,Release,Key: e
1747483468984,Keyboard,Press,Key: w
1747483471301,Keyboard,Press,Key: shift
1747483471980,Keyboard,Release,Key: shift
1747483474634,Keyboard,Press,Key: shift
1747483480343,Keyboard,Release,Key: shift
1747483482123,Keyboard,Release,Key: w
1747483482601,Keyboard,Press,Key: c
1747483482677,Keyboard,Release,Key: c
1747483482954,Keyboard,Press,Key: w
1747483486362,Keyboard,Press,Key: c
1747483486489,Keyboard,Release,Key: c
1747483486681,Keyboard,Press,Key: shift
1747483488375,Keyboard,Release,Key: shift
1747483489149,Keyboard,Release,Key: w
1747483490165,Keyboard,Press,Key: e
1747483495209,Keyboard,Release,Key: e
1747483496164,Keyboard,Press,Key: w
1747483496299,Keyboard,Press,Key: d
1747483496602,Keyboard,Release,Key: w
1747483496643,Keyboard,Release,Key: d
1747483497214,Keyboard,Press,Key: w
1747483497365,Keyboard,Release,Key: w
1747483498708,Keyboard,Press,Key: w
1747483498824,Keyboard,Release,Key: w
1747483499119,Keyboard,Press,Key: e
