Time (ms),Device,Action,Details
1725112429435,Keyboard,Press,Key: left windows
1725112429568,Keyboard,Release,Key: left windows
1725112433241,Keyboard,Press,Key: w
1725112433611,Keyboard,Press,Key: shift
1725112435636,Keyboard,Press,Key: a
1725112435853,Keyboard,Release,Key: a
1725112436115,Keyboard,Press,Key: a
1725112436258,Keyboard,Release,Key: a
1725112436468,Keyboard,Press,Key: a
1725112436653,Keyboard,Release,Key: a
1725112436853,Keyboard,Press,Key: a
1725112436990,Keyboard,Release,Key: a
1725112437209,Keyboard,Press,Key: a
1725112437408,Keyboard,Release,Key: a
1725112437577,Keyboard,Press,Key: a
1725112437728,Keyboard,Release,Key: shift
1725112437753,Keyboard,Release,Key: a
1725112437828,Keyboard,Release,Key: w
1725112438065,Keyboard,Press,Key: w
1725112438148,Keyboard,Release,Key: w
1725112439451,Keyboard,Press,Key: tab
1725112441226,Keyboard,Release,Key: tab
1725112441485,Keyboard,Press,Key: q
1725112441553,Keyboard,Release,Key: q
1725112442023,Keyboard,Press,Key: w
1725112442966,Keyboard,Release,Key: w
1725112443277,Keyboard,Press,Key: tab
1725112443748,Keyboard,Release,Key: tab
1725112443899,Keyboard,Press,Key: w
1725112444740,Keyboard,Press,Key: shift
1725112445034,Keyboard,Press,Key: d
1725112445882,Keyboard,Release,Key: shift
1725112446018,Keyboard,Release,Key: d
1725112446093,Keyboard,Press,Key: d
1725112446112,Keyboard,Press,Key: q
1725112446153,Keyboard,Release,Key: q
1725112446193,Keyboard,Release,Key: d
1725112446296,Keyboard,Release,Key: w
1725112446490,Keyboard,Press,Key: q
1725112446513,Keyboard,Release,Key: q
1725112446530,Keyboard,Press,Key: w
1725112446682,Keyboard,Press,Key: d
1725112446994,Keyboard,Press,Key: shift
1725112447313,Keyboard,Release,Key: d
1725112447480,Keyboard,Press,Key: d
1725112448305,Keyboard,Release,Key: d
1725112448640,Keyboard,Press,Key: d
1725112448927,Keyboard,Release,Key: d
1725112448944,Keyboard,Release,Key: shift
1725112448976,Keyboard,Release,Key: w
1725112449808,Keyboard,Press,Key: q
1725112449902,Keyboard,Release,Key: q
1725112450304,Keyboard,Press,Key: w
1725112450549,Keyboard,Press,Key: shift
1725112453668,Keyboard,Press,Key: space
1725112453819,Keyboard,Release,Key: space
1725112455408,Keyboard,Release,Key: shift
1725112455475,Keyboard,Release,Key: w
1725112456577,Keyboard,Press,Key: r
1725112456652,Keyboard,Release,Key: r
1725112457190,Keyboard,Press,Key: w
1725112457678,Keyboard,Release,Key: w
1725112458897,Keyboard,Press,Key: q
1725112458956,Keyboard,Release,Key: q
1725112459208,Keyboard,Press,Key: w
1725112459367,Keyboard,Press,Key: shift
1725112464564,Keyboard,Press,Key: d
1725112464606,Keyboard,Release,Key: shift
1725112465127,Keyboard,Release,Key: d
1725112465312,Keyboard,Release,Key: w
1725112468465,Keyboard,Press,Key: d
1725112468565,Keyboard,Press,Key: w
1725112468724,Keyboard,Press,Key: shift
1725112468976,Keyboard,Release,Key: d
1725112470290,Keyboard,Press,Key: d
1725112471165,Keyboard,Release,Key: d
1725112471374,Keyboard,Press,Key: d
1725112471929,Keyboard,Release,Key: d
1725112472148,Keyboard,Press,Key: d
1725112472265,Keyboard,Release,Key: d
1725112472558,Keyboard,Press,Key: d
1725112472853,Keyboard,Release,Key: d
1725112472878,Keyboard,Release,Key: shift
1725112473082,Keyboard,Press,Key: d
1725112473416,Keyboard,Release,Key: d
1725112473626,Keyboard,Press,Key: a
1725112474812,Keyboard,Release,Key: a
1725112475283,Keyboard,Press,Key: a
1725112475477,Keyboard,Release,Key: a
1725112476534,Keyboard,Release,Key: w
1725112479672,Keyboard,Press,Key: space
1725112479748,Keyboard,Release,Key: space
1725112479856,Keyboard,Press,Key: space
1725112479924,Keyboard,Release,Key: space
1725112480328,Keyboard,Press,Key: space
1725112480377,Keyboard,Release,Key: space
1725112480447,Keyboard,Press,Key: space
1725112480511,Keyboard,Release,Key: space
1725112480967,Keyboard,Press,Key: space
1725112481042,Keyboard,Release,Key: space
1725112481101,Keyboard,Press,Key: space
1725112481177,Keyboard,Release,Key: space
1725112481470,Keyboard,Press,Key: space
1725112481513,Keyboard,Release,Key: space
1725112481597,Keyboard,Press,Key: space
1725112481639,Keyboard,Release,Key: space
1725112483530,Keyboard,Press,Key: q
1725112483623,Keyboard,Release,Key: q
1725112489880,Keyboard,Press,Key: w
1725112489980,Keyboard,Press,Key: shift
1725112490332,Keyboard,Press,Key: d
1725112490777,Keyboard,Release,Key: d
1725112492191,Keyboard,Release,Key: shift
1725112492477,Keyboard,Press,Key: shift
1725112493149,Keyboard,Press,Key: d
1725112493451,Keyboard,Release,Key: d
1725112494628,Keyboard,Release,Key: shift
1725112494687,Keyboard,Release,Key: w
1725112496208,Keyboard,Press,Key: w
1725112496611,Keyboard,Press,Key: shift
1725112496645,Keyboard,Release,Key: shift
1725112496745,Keyboard,Press,Key: shift
1725112499417,Keyboard,Press,Key: q
1725112499501,Keyboard,Release,Key: q
1725112499897,Keyboard,Release,Key: shift
1725112500014,Keyboard,Press,Key: shift
1725112500510,Keyboard,Press,Key: space
1725112500637,Keyboard,Release,Key: space
1725112500695,Keyboard,Press,Key: space
1725112500806,Keyboard,Release,Key: space
1725112502931,Keyboard,Release,Key: shift
1725112503016,Keyboard,Press,Key: d
1725112503436,Keyboard,Release,Key: d
1725112503562,Keyboard,Release,Key: w
1725112505235,Keyboard,Press,Key: w
1725112506379,Keyboard,Release,Key: w
1725112507177,Keyboard,Press,Key: w
1725112507798,Keyboard,Release,Key: w
1725112509195,Keyboard,Press,Key: e
1725112509263,Keyboard,Release,Key: e
1725112509557,Keyboard,Press,Key: e
1725112509657,Keyboard,Release,Key: e
1725112510735,Keyboard,Press,Key: w
1725112511499,Keyboard,Press,Key: space
1725112511600,Keyboard,Release,Key: space
1725112511845,Keyboard,Press,Key: a
1725112512358,Keyboard,Release,Key: a
1725112512651,Keyboard,Press,Key: a
1725112512980,Keyboard,Release,Key: a
1725112514307,Keyboard,Press,Key: e
1725112514462,Keyboard,Release,Key: e
1725112514544,Keyboard,Press,Key: e
1725112514645,Keyboard,Release,Key: e
1725112514737,Keyboard,Press,Key: e
1725112514812,Keyboard,Release,Key: w
1725112514839,Keyboard,Release,Key: e
1725112515771,Keyboard,Press,Key: q
1725112515915,Keyboard,Release,Key: q
1725112517798,Keyboard,Press,Key: w
1725112517975,Keyboard,Release,Key: w
1725112519152,Keyboard,Press,Key: w
1725112520514,Keyboard,Press,Key: space
1725112520715,Keyboard,Release,Key: space
1725112520723,Keyboard,Press,Key: d
1725112520782,Keyboard,Release,Key: d
1725112521540,Keyboard,Press,Key: space
1725112521632,Keyboard,Release,Key: space
1725112521674,Keyboard,Press,Key: space
1725112521757,Keyboard,Release,Key: space
1725112522044,Keyboard,Press,Key: shift
1725112522910,Keyboard,Release,Key: shift
1725112526962,Keyboard,Release,Key: w
1725112527103,Keyboard,Press,Key: s
1725112527180,Keyboard,Press,Key: space
1725112527298,Keyboard,Release,Key: space
1725112527375,Keyboard,Press,Key: space
1725112527449,Keyboard,Release,Key: space
1725112527574,Keyboard,Release,Key: s
1725112528434,Keyboard,Press,Key: q
1725112528516,Keyboard,Release,Key: q
1725112528819,Keyboard,Press,Key: w
1725112529132,Keyboard,Press,Key: a
1725112529912,Keyboard,Press,Key: space
1725112530029,Keyboard,Release,Key: space
1725112530249,Keyboard,Release,Key: a
1725112532166,Keyboard,Press,Key: space
1725112532232,Keyboard,Release,Key: space
1725112533904,Keyboard,Press,Key: shift
1725112534342,Keyboard,Release,Key: shift
1725112536989,Keyboard,Release,Key: w
1725112537181,Keyboard,Press,Key: s
1725112537258,Keyboard,Press,Key: space
1725112537358,Keyboard,Release,Key: space
1725112537417,Keyboard,Press,Key: space
1725112537510,Keyboard,Release,Key: space
1725112537577,Keyboard,Release,Key: s
1725112538635,Keyboard,Press,Key: w
1725112538678,Keyboard,Press,Key: d
1725112539114,Keyboard,Release,Key: d
1725112539157,Keyboard,Release,Key: w
1725112539358,Keyboard,Press,Key: tab
1725112540829,Keyboard,Release,Key: tab
1725112541509,Keyboard,Press,Key: tab
1725112541880,Keyboard,Release,Key: tab
1725112542190,Keyboard,Press,Key: q
1725112542266,Keyboard,Release,Key: q
