Time (ms),Device,Action,Details
1725111229270,Mouse,Move,"X: 1778, Y: 66"
1725111229372,Mouse,Move,"X: 1778, Y: 66"
1725111229472,Mouse,Move,"X: 1778, Y: 66"
1725111229573,Mouse,Move,"X: 1763, Y: 116"
1725111229673,Mouse,Move,"X: 1149, Y: 773"
1725111229774,Mouse,Move,"X: 988, Y: 878"
1725111229875,Mouse,Move,"X: 917, Y: 991"
1725111229976,Mouse,Move,"X: 861, Y: 1079"
1725111230077,Mouse,Move,"X: 861, Y: 1079"
1725111230177,Mouse,Move,"X: 906, Y: 1058"
1725111230278,Mouse,Move,"X: 906, Y: 1058"
1725111230379,Mouse,Move,"X: 906, Y: 1058"
1725111230479,Mouse,Move,"X: 906, Y: 1058"
1725111230580,Mouse,Move,"X: 906, Y: 1058"
1725111230681,Mouse,Move,"X: 906, Y: 1058"
1725111230781,Mouse,Move,"X: 906, Y: 1058"
1725111230881,Mouse,Move,"X: 906, Y: 1058"
1725111230982,Mouse,Move,"X: 906, Y: 1058"
1725111231009,Mouse,Click,Left
1725111231083,Mouse,Move,"X: 906, Y: 1058"
1725111231185,Mouse,Move,"X: 913, Y: 1008"
1725111231285,Mouse,Move,"X: 1000, Y: 511"
1725111231386,Mouse,Move,"X: 1001, Y: 506"
1725111231488,Mouse,Move,"X: 825, Y: 567"
1725111231588,Mouse,Move,"X: 539, Y: 619"
1725111231689,Mouse,Move,"X: 447, Y: 678"
1725111231789,Mouse,Move,"X: 321, Y: 725"
1725111231890,Mouse,Move,"X: 284, Y: 732"
1725111231990,Mouse,Move,"X: 284, Y: 732"
1725111232091,Mouse,Move,"X: 284, Y: 732"
1725111232192,Mouse,Move,"X: 284, Y: 732"
1725111232293,Mouse,Move,"X: 284, Y: 732"
1725111232393,Mouse,Move,"X: 284, Y: 732"
1725111232494,Mouse,Move,"X: 284, Y: 732"
1725111232572,Mouse,Click,Left
1725111232595,Mouse,Move,"X: 284, Y: 732"
1725111232695,Mouse,Move,"X: 284, Y: 732"
1725111232797,Mouse,Move,"X: 284, Y: 732"
1725111232897,Mouse,Move,"X: 284, Y: 732"
1725111232998,Mouse,Move,"X: 284, Y: 732"
1725111233100,Mouse,Move,"X: 284, Y: 732"
1725111233201,Mouse,Move,"X: 284, Y: 732"
1725111233301,Mouse,Move,"X: 284, Y: 732"
1725111233401,Mouse,Move,"X: 284, Y: 732"
1725111233502,Mouse,Move,"X: 284, Y: 732"
1725111233602,Mouse,Move,"X: 284, Y: 732"
1725111233703,Mouse,Move,"X: 284, Y: 732"
1725111233804,Mouse,Move,"X: 312, Y: 722"
1725111233904,Mouse,Move,"X: 385, Y: 721"
1725111234005,Mouse,Move,"X: 385, Y: 721"
1725111234105,Mouse,Move,"X: 385, Y: 721"
1725111234205,Mouse,Move,"X: 385, Y: 721"
1725111234306,Mouse,Move,"X: 387, Y: 715"
1725111234407,Mouse,Move,"X: 350, Y: 711"
1725111234508,Mouse,Move,"X: 319, Y: 703"
1725111234608,Mouse,Move,"X: 264, Y: 653"
1725111234708,Mouse,Move,"X: 264, Y: 651"
1725111234809,Mouse,Move,"X: 264, Y: 651"
1725111234910,Mouse,Move,"X: 268, Y: 651"
1725111235010,Mouse,Move,"X: 280, Y: 643"
1725111235111,Mouse,Move,"X: 280, Y: 643"
1725111235212,Mouse,Move,"X: 280, Y: 643"
1725111235312,Mouse,Move,"X: 280, Y: 643"
