timestamp,action
00:00:00,start
00:00:07,finding_game
00:01:26,character_select
00:01:46,match_start
00:01:46,round_start
00:02:42,kill
00:03:10,kill
00:04:00,death
00:04:12,respawn
00:05:07,kill
00:05:16,death
00:05:28,respawn
00:05:42,kill
00:05:47,death
00:05:57,respawn
00:06:16,death
00:06:27,respawn
00:07:25,death
00:07:36,respawn
00:08:48,death
00:08:50,kill
00:08:59,respawn
00:09:53,death
00:10:06,respawn
00:10:13,kill
00:10:34,round_end
00:10:35,match_end
00:11:05,finding_game
00:12:06,character_select
00:12:18,match_start
00:12:18,round_start
00:13:15,kill
00:13:17,kill
00:13:25,kill
00:13:44,kill
00:13:49,kill
00:14:21,kill
00:14:31,kill
00:15:11,kill
00:15:45,kill
00:15:46,perk_activation
00:15:50,kill
00:15:55,kill
00:16:08,death
00:16:18,respawn
00:16:35,kill
00:16:47,death
00:16:58,respawn
00:17:13,kill
00:17:31,kill
00:17:47,death
00:17:58,respawn
00:18:24,kill
00:18:38,kill
00:19:01,death
00:19:12,respawn
00:19:33,kill
00:19:43,kill
00:20:01,kill
00:20:19,kill
00:20:25,kill
00:20:28,perk_activation
00:20:31,kill
00:20:50,kill
00:21:11,kill
00:21:12,kill
00:21:27,kill
00:21:52,kill
00:21:59,death
00:22:12,respawn
00:22:42,kill
00:23:04,kill
00:23:09,kill
00:23:11,death
00:23:21,respawn
00:23:46,death
00:23:48,round_end
00:23:49,match_end
00:24:25,finding_game
00:25:26,character_select
00:26:20,match_start
00:26:20,round_start
00:26:47,kill
00:27:00,death
00:27:10,respawn
00:27:47,kill
00:28:00,kill
00:28:19,perk_activation
00:28:22,kill
00:28:24,kill
00:28:41,kill
00:29:05,kill
00:29:06,kill
00:29:09,death
00:29:19,respawn
00:30:39,perk_activation
00:30:42,kill
00:30:44,kill
00:31:52,kill
00:32:12,kill
00:32:19,kill
00:32:22,perk_activation
00:32:30,kill
00:32:31,kill
00:32:50,kill
00:32:52,kill
00:33:35,kill
00:33:40,kill
00:34:03,kill
00:34:18,death
00:34:23,round_end
00:34:24,match_end




























































































