Time (ms),Device,Action,Details
1713543231609,Keyboard,Press,Key: alt
1713543231752,Keyboard,Press,Key: z
1713543231859,Keyboard,Release,Key: z
1713543231876,Keyboard,Release,Key: alt
1713543251076,Keyboard,Press,Key: alt
1713543251294,Keyboard,Press,Key: z
1713543251377,Keyboard,Release,Key: z
1713543251402,Keyboard,Release,Key: alt
1713543254036,Keyboard,Press,Key: w
1713543254682,Keyboard,Release,Key: w
1713543255446,Keyboard,Press,Key: m
1713543255505,Keyboard,Release,Key: m
1713543257890,Keyboard,Press,Key: esc
1713543257955,Keyboard,Release,Key: esc
1713543258443,Keyboard,Press,Key: w
1713543258644,Keyboard,Release,Key: w
1713543258954,Keyboard,Press,Key: esc
1713543259012,Keyboard,Release,Key: esc
1713543259449,Keyboard,Press,Key: w
1713543260095,Keyboard,Release,Key: w
1713543261429,Keyboard,Press,Key: w
1713543262982,Keyboard,Release,Key: w
1713543263560,Keyboard,Press,Key: w
1713543263855,Keyboard,Release,Key: w
1713543265146,Keyboard,Press,Key: e
1713543265205,Keyboard,Release,Key: e
1713543290148,Keyboard,Press,Key: x
1713543290207,Keyboard,Release,Key: x
1713543291137,Keyboard,Press,Key: w
1713543291674,Keyboard,Press,Key: shift
1713543291993,Keyboard,Press,Key: A
1713543292186,Keyboard,Release,Key: A
1713543293957,Keyboard,Release,Key: shift
1713543294075,Keyboard,Release,Key: w
1713543294141,Keyboard,Press,Key: e
1713543294241,Keyboard,Release,Key: e
1713543294937,Keyboard,Press,Key: w
1713543296909,Keyboard,Press,Key: shift
1713543297043,Keyboard,Release,Key: shift
1713543297169,Keyboard,Press,Key: shift
1713543297656,Keyboard,Release,Key: shift
1713543297766,Keyboard,Release,Key: w
1713543297891,Keyboard,Press,Key: a
1713543297983,Keyboard,Press,Key: w
1713543298018,Keyboard,Release,Key: a
1713543298444,Keyboard,Press,Key: a
1713543298520,Keyboard,Release,Key: w
1713543300172,Keyboard,Press,Key: w
1713543300365,Keyboard,Release,Key: a
1713543300517,Keyboard,Press,Key: space
1713543300617,Keyboard,Release,Key: space
1713543302060,Keyboard,Press,Key: d
1713543302310,Keyboard,Release,Key: d
1713543302662,Keyboard,Press,Key: shift
1713543302764,Keyboard,Release,Key: shift
1713543302857,Keyboard,Press,Key: shift
1713543308274,Keyboard,Release,Key: shift
1713543310136,Keyboard,Press,Key: shift
1713543310245,Keyboard,Release,Key: shift
1713543310346,Keyboard,Press,Key: shift
1713543318732,Keyboard,Release,Key: shift
1713543319243,Keyboard,Press,Key: e
1713543319344,Keyboard,Release,Key: e
1713543321172,Keyboard,Press,Key: d
1713543321703,Keyboard,Release,Key: d
1713543321952,Keyboard,Press,Key: shift
1713543322271,Keyboard,Press,Key: D
1713543322472,Keyboard,Release,Key: D
1713543324024,Keyboard,Press,Key: D
1713543324242,Keyboard,Release,Key: D
1713543328955,Keyboard,Press,Key: space
1713543329081,Keyboard,Release,Key: space
1713543329300,Keyboard,Release,Key: shift
1713543329921,Keyboard,Release,Key: w
1713543330684,Keyboard,Press,Key: w
1713543330843,Keyboard,Release,Key: w
1713543330844,Keyboard,Press,Key: e
1713543330952,Keyboard,Release,Key: e
1713543332445,Keyboard,Press,Key: w
1713543332539,Keyboard,Release,Key: w
1713543344078,Keyboard,Press,Key: tab
1713543349033,Keyboard,Release,Key: tab
1713543369488,Keyboard,Press,Key: a
1713543369789,Keyboard,Release,Key: a
1713543371374,Keyboard,Press,Key: w
1713543371434,Keyboard,Release,Key: w
1713543371953,Keyboard,Press,Key: w
1713543372036,Keyboard,Release,Key: w
1713543381501,Keyboard,Press,Key: tab
1713543382543,Keyboard,Release,Key: tab
1713543394210,Keyboard,Press,Key: w
1713543394521,Keyboard,Press,Key: shift
1713543395159,Keyboard,Release,Key: shift
1713543395460,Keyboard,Release,Key: w
1713543396240,Keyboard,Press,Key: w
1713543399755,Keyboard,Press,Key: shift
1713543400526,Keyboard,Release,Key: shift
1713543402843,Keyboard,Press,Key: shift
1713543403942,Keyboard,Release,Key: shift
1713543408014,Keyboard,Press,Key: shift
1713543409967,Keyboard,Press,Key: D
1713543410077,Keyboard,Release,Key: D
1713543410127,Keyboard,Release,Key: shift
1713543410286,Keyboard,Release,Key: w
1713543411159,Keyboard,Press,Key: w
1713543411588,Keyboard,Press,Key: shift
1713543416556,Keyboard,Release,Key: shift
1713543416741,Keyboard,Press,Key: shift
1713543421055,Keyboard,Release,Key: shift
1713543421256,Keyboard,Press,Key: shift
1713543424445,Keyboard,Release,Key: shift
1713543424545,Keyboard,Press,Key: shift
1713543424663,Keyboard,Release,Key: shift
1713543424890,Keyboard,Release,Key: w
1713543425076,Keyboard,Press,Key: e
1713543425167,Keyboard,Release,Key: e
1713543425905,Keyboard,Press,Key: s
1713543426729,Keyboard,Release,Key: s
1713543427383,Keyboard,Press,Key: w
1713543427828,Keyboard,Release,Key: w
1713543428138,Keyboard,Press,Key: e
1713543428298,Keyboard,Release,Key: e
1713543428701,Keyboard,Press,Key: w
1713543429247,Keyboard,Release,Key: w
1713543429355,Keyboard,Press,Key: e
1713543429464,Keyboard,Release,Key: e
1713543430085,Keyboard,Press,Key: e
1713543430204,Keyboard,Release,Key: e
1713543430472,Keyboard,Press,Key: e
1713543430616,Keyboard,Release,Key: e
1713543431664,Keyboard,Press,Key: v
1713543431739,Keyboard,Release,Key: v
1713543434458,Keyboard,Press,Key: s
1713543435021,Keyboard,Press,Key: a
1713543435188,Keyboard,Release,Key: s
1713543435432,Keyboard,Press,Key: w
1713543435642,Keyboard,Release,Key: a
1713543436038,Keyboard,Release,Key: w
1713543436219,Keyboard,Press,Key: e
