Time (ms),Device,Action,Details
1713544470862,Keyboard,Press,Key: alt
1713544471691,Keyboard,Press,Key: z
1713544471818,Keyboard,Release,Key: z
1713544471835,Keyboard,Release,Key: alt
1713544474739,Keyboard,Press,Key: w
1713544478019,Keyboard,Press,Key: shift
1713544478128,Keyboard,Release,Key: shift
1713544479363,Keyboard,Release,Key: w
1713544480234,Keyboard,Press,Key: d
1713544480645,Keyboard,Release,Key: d
1713544480645,Keyboard,Press,Key: w
1713544483648,Keyboard,Press,Key: shift
1713544483732,Keyboard,Release,Key: shift
1713544483816,Keyboard,Press,Key: shift
1713544485158,Keyboard,Press,Key: A
1713544485384,Keyboard,Release,Key: A
1713544485771,Keyboard,Press,Key: D
1713544485913,Keyboard,Release,Key: D
1713544488220,Keyboard,Release,Key: shift
1713544489126,Keyboard,Press,Key: shift
1713544489269,Keyboard,Release,Key: shift
1713544489370,Keyboard,Press,Key: shift
1713544492014,Keyboard,Press,Key: A
1713544492339,Keyboard,Release,Key: A
1713544493438,Keyboard,Press,Key: D
1713544493539,Keyboard,Release,Key: D
1713544493893,Keyboard,Press,Key: D
1713544494194,Keyboard,Release,Key: D
1713544494865,Keyboard,Press,Key: D
1713544495083,Keyboard,Release,Key: D
1713544495393,Keyboard,Press,Key: D
1713544495528,Keyboard,Release,Key: D
1713544497180,Keyboard,Press,Key: D
1713544497376,Keyboard,Release,Key: D
1713544502416,Keyboard,Press,Key: D
1713544502943,Keyboard,Release,Key: D
1713544506149,Keyboard,Press,Key: A
1713544506402,Keyboard,Release,Key: A
1713544506609,Keyboard,Press,Key: A
1713544506787,Keyboard,Release,Key: A
1713544508800,Keyboard,Release,Key: shift
1713544509421,Keyboard,Press,Key: shift
1713544509546,Keyboard,Release,Key: shift
1713544509656,Keyboard,Press,Key: shift
1713544514701,Keyboard,Press,Key: E
1713544514819,Keyboard,Release,Key: E
1713544515196,Keyboard,Release,Key: shift
1713544515263,Keyboard,Release,Key: w
1713544515810,Keyboard,Press,Key: d
1713544516028,Keyboard,Press,Key: w
1713544516899,Keyboard,Release,Key: d
1713544517210,Keyboard,Press,Key: a
1713544517571,Keyboard,Release,Key: a
1713544518066,Keyboard,Press,Key: d
1713544518243,Keyboard,Release,Key: d
1713544518570,Keyboard,Press,Key: a
1713544518814,Keyboard,Release,Key: a
1713544519754,Keyboard,Press,Key: shift
1713544521197,Keyboard,Release,Key: shift
1713544523295,Keyboard,Release,Key: w
1713544523413,Keyboard,Press,Key: s
1713544523488,Keyboard,Press,Key: space
1713544523572,Keyboard,Release,Key: space
1713544523647,Keyboard,Press,Key: space
1713544523749,Keyboard,Release,Key: space
1713544523816,Keyboard,Press,Key: space
1713544523909,Keyboard,Release,Key: space
1713544524805,Keyboard,Press,Key: q
1713544524916,Keyboard,Release,Key: q
1713544524966,Keyboard,Release,Key: s
