Time (ms),Device,Action,Details
1709642765707,Mouse,Move,"X: 2344, Y: 92"
1709642765807,Mouse,Move,"X: 1381, Y: 671"
1709642765908,Mouse,Move,"X: 1114, Y: 786"
1709642766009,Mouse,Move,"X: 1145, Y: 786"
1709642766110,Mouse,Move,"X: 1145, Y: 789"
1709642766210,Mouse,Move,"X: 1145, Y: 789"
1709642766311,Mouse,Move,"X: 1145, Y: 789"
1709642766411,Mouse,Move,"X: 1140, Y: 790"
1709642766512,Mouse,Move,"X: 1139, Y: 783"
1709642766612,Mouse,Move,"X: 1118, Y: 716"
1709642766712,Mouse,Move,"X: 837, Y: 295"
1709642766813,Mouse,Move,"X: 821, Y: 110"
1709642766914,Mouse,Move,"X: 1027, Y: 53"
1709642767015,Mouse,Move,"X: 1099, Y: 40"
1709642767116,Mouse,Move,"X: 1100, Y: 45"
1709642767217,Mouse,Move,"X: 1062, Y: 66"
1709642767317,Mouse,Move,"X: 1057, Y: 69"
1709642767417,Mouse,Move,"X: 1057, Y: 69"
1709642767518,Mouse,Move,"X: 1057, Y: 69"
1709642767619,Mouse,Move,"X: 1057, Y: 69"
1709642767719,Mouse,Move,"X: 1057, Y: 69"
1709642767820,Mouse,Move,"X: 1057, Y: 69"
1709642767920,Mouse,Move,"X: 1057, Y: 69"
1709642768020,Mouse,Move,"X: 1057, Y: 69"
1709642768120,Mouse,Move,"X: 1057, Y: 69"
1709642768221,Mouse,Move,"X: 1057, Y: 69"
1709642768321,Mouse,Move,"X: 1057, Y: 69"
1709642768422,Mouse,Move,"X: 1018, Y: 147"
1709642768522,Mouse,Move,"X: 886, Y: 524"
1709642768623,Mouse,Move,"X: 895, Y: 637"
1709642768724,Mouse,Move,"X: 887, Y: 629"
1709642768825,Mouse,Move,"X: 887, Y: 626"
1709642768925,Mouse,Move,"X: 961, Y: 617"
1709642769025,Mouse,Move,"X: 1231, Y: 553"
1709642769125,Mouse,Move,"X: 1243, Y: 549"
1709642769225,Mouse,Move,"X: 1244, Y: 549"
1709642769325,Mouse,Move,"X: 1229, Y: 575"
1709642769426,Mouse,Move,"X: 1229, Y: 575"
1709642769526,Mouse,Move,"X: 1229, Y: 575"
1709642769626,Mouse,Move,"X: 1237, Y: 567"
1709642769727,Mouse,Move,"X: 1245, Y: 557"
1709642769827,Mouse,Move,"X: 1245, Y: 557"
1709642769928,Mouse,Move,"X: 1245, Y: 557"
1709642770029,Mouse,Move,"X: 1245, Y: 557"
1709642770129,Mouse,Move,"X: 1226, Y: 563"
1709642770229,Mouse,Move,"X: 1455, Y: 423"
1709642770330,Mouse,Move,"X: 2139, Y: 115"
1709642770430,Mouse,Move,"X: 2176, Y: 89"
1709642770531,Mouse,Move,"X: 2281, Y: 87"
1709642770631,Mouse,Move,"X: 2335, Y: 73"
1709642770731,Mouse,Move,"X: 2355, Y: 67"
1709642770832,Mouse,Move,"X: 2379, Y: 59"
1709642770932,Mouse,Move,"X: 2393, Y: 59"
1709642771033,Mouse,Move,"X: 2388, Y: 61"
1709642771134,Mouse,Move,"X: 2374, Y: 73"
1709642771235,Mouse,Move,"X: 1394, Y: 662"
1709642771335,Mouse,Move,"X: 604, Y: 1263"
1709642771435,Mouse,Move,"X: 617, Y: 1253"
1709642771535,Mouse,Move,"X: 538, Y: 1291"
1709642771636,Mouse,Move,"X: 459, Y: 1316"
1709642771736,Mouse,Move,"X: 413, Y: 1385"
1709642771837,Mouse,Move,"X: 415, Y: 1393"
1709642771937,Mouse,Move,"X: 433, Y: 1383"
1709642772038,Mouse,Move,"X: 434, Y: 1383"
1709642772138,Mouse,Move,"X: 434, Y: 1384"
1709642772239,Mouse,Move,"X: 434, Y: 1384"
1709642772339,Mouse,Move,"X: 434, Y: 1384"
1709642772439,Mouse,Move,"X: 434, Y: 1384"
1709642772540,Mouse,Move,"X: 434, Y: 1384"
1709642772640,Mouse,Move,"X: 893, Y: 998"
1709642772740,Mouse,Move,"X: 1179, Y: 637"
1709642772840,Mouse,Move,"X: 1175, Y: 637"
1709642772941,Mouse,Move,"X: 1168, Y: 645"
1709642773042,Mouse,Move,"X: 1168, Y: 645"
1709642773142,Mouse,Move,"X: 1168, Y: 645"
1709642773243,Mouse,Move,"X: 1168, Y: 645"
1709642773344,Mouse,Move,"X: 1168, Y: 645"
1709642773444,Mouse,Move,"X: 1223, Y: 599"
1709642773544,Mouse,Move,"X: 1295, Y: 550"
1709642773645,Mouse,Move,"X: 1295, Y: 550"
1709642773746,Mouse,Move,"X: 1299, Y: 548"
1709642773846,Mouse,Move,"X: 1299, Y: 563"
1709642773946,Mouse,Move,"X: 1299, Y: 563"
1709642774046,Mouse,Move,"X: 1295, Y: 563"
1709642774147,Mouse,Move,"X: 1305, Y: 570"
1709642774247,Mouse,Move,"X: 1305, Y: 576"
1709642774348,Mouse,Move,"X: 1304, Y: 580"
1709642774448,Mouse,Move,"X: 1317, Y: 583"
1709642774548,Mouse,Move,"X: 1317, Y: 584"
1709642774649,Mouse,Move,"X: 1317, Y: 584"
1709642774750,Mouse,Move,"X: 1317, Y: 584"
1709642774851,Mouse,Move,"X: 1317, Y: 584"
1709642774951,Mouse,Move,"X: 1317, Y: 584"
1709642775051,Mouse,Move,"X: 1317, Y: 584"
1709642775152,Mouse,Move,"X: 1317, Y: 584"
1709642775252,Mouse,Move,"X: 1317, Y: 584"
1709642775352,Mouse,Move,"X: 1317, Y: 584"
1709642775452,Mouse,Move,"X: 1703, Y: 365"
1709642775553,Mouse,Move,"X: 2421, Y: 47"
1709642775654,Mouse,Move,"X: 2462, Y: 37"
1709642775754,Mouse,Move,"X: 2459, Y: 34"
1709642775855,Mouse,Move,"X: 2459, Y: 32"
1709642775956,Mouse,Move,"X: 2457, Y: 25"
1709642776056,Mouse,Move,"X: 2457, Y: 25"
1709642776156,Mouse,Move,"X: 2457, Y: 25"
1709642776256,Mouse,Move,"X: 2457, Y: 25"
1709642776356,Mouse,Move,"X: 2426, Y: 67"
1709642776456,Mouse,Move,"X: 1525, Y: 535"
1709642776557,Mouse,Move,"X: 444, Y: 610"
1709642776658,Mouse,Move,"X: 370, Y: 281"
1709642776759,Mouse,Move,"X: 192, Y: 206"
1709642776860,Mouse,Move,"X: -128, Y: 333"
1709642776960,Mouse,Move,"X: -126, Y: 265"
1709642777060,Mouse,Move,"X: -108, Y: 185"
1709642777160,Mouse,Move,"X: -110, Y: 58"
1709642777261,Mouse,Move,"X: -105, Y: 47"
1709642777361,Mouse,Move,"X: -105, Y: 39"
