Time (ms),Device,Action,Details
1713544463900,Mouse,Move,"X: -173, Y: 85"
1713544464001,Mouse,Move,"X: -173, Y: 85"
1713544464101,Mouse,Move,"X: -173, Y: 85"
1713544464201,Mouse,Move,"X: -173, Y: 85"
1713544464302,Mouse,Move,"X: -173, Y: 85"
1713544464403,Mouse,Move,"X: -173, Y: 85"
1713544464504,Mouse,Move,"X: -173, Y: 85"
1713544464605,Mouse,Move,"X: -173, Y: 85"
1713544464706,Mouse,Move,"X: -173, Y: 85"
1713544464806,Mouse,Move,"X: -173, Y: 85"
1713544464907,Mouse,Move,"X: -173, Y: 85"
1713544465008,Mouse,Move,"X: -173, Y: 85"
1713544465109,Mouse,Move,"X: -173, Y: 85"
1713544465210,Mouse,Move,"X: -174, Y: 86"
1713544465311,Mouse,Move,"X: -175, Y: 87"
1713544465412,Mouse,Move,"X: 385, Y: 293"
1713544465513,Mouse,Move,"X: 789, Y: 557"
1713544465613,Mouse,Move,"X: 908, Y: 706"
1713544465714,Mouse,Move,"X: 1041, Y: 603"
1713544465814,Mouse,Move,"X: 1136, Y: 494"
1713544465915,Mouse,Move,"X: 1262, Y: 399"
1713544466016,Mouse,Move,"X: 1265, Y: 389"
1713544466117,Mouse,Move,"X: 1265, Y: 389"
1713544466218,Mouse,Move,"X: 1265, Y: 389"
1713544466319,Mouse,Move,"X: 1265, Y: 389"
1713544466359,Mouse,Click,Left
1713544466419,Mouse,Move,"X: 1265, Y: 397"
1713544466519,Mouse,Move,"X: 1262, Y: 407"
1713544466620,Mouse,Move,"X: 1262, Y: 407"
1713544466721,Mouse,Move,"X: 1265, Y: 435"
1713544466822,Mouse,Move,"X: 1234, Y: 560"
1713544466922,Mouse,Move,"X: 1229, Y: 571"
1713544467022,Mouse,Move,"X: 1229, Y: 571"
1713544467113,Mouse,Click,Left
1713544467123,Mouse,Move,"X: 1229, Y: 571"
1713544467223,Mouse,Move,"X: 1229, Y: 571"
1713544467324,Mouse,Move,"X: 1229, Y: 571"
1713544467425,Mouse,Move,"X: 1229, Y: 571"
1713544467525,Mouse,Move,"X: 1229, Y: 571"
1713544467625,Mouse,Move,"X: 1229, Y: 571"
1713544467726,Mouse,Move,"X: 1229, Y: 571"
1713544467827,Mouse,Move,"X: 1229, Y: 571"
1713544467928,Mouse,Move,"X: 1229, Y: 571"
1713544468028,Mouse,Move,"X: 1229, Y: 571"
1713544468129,Mouse,Move,"X: 1229, Y: 617"
1713544468230,Mouse,Move,"X: 1213, Y: 641"
1713544468330,Mouse,Move,"X: 1213, Y: 641"
1713544468331,Mouse,Click,Left
1713544468431,Mouse,Move,"X: 1213, Y: 641"
1713544468532,Mouse,Move,"X: 1213, Y: 641"
1713544468632,Mouse,Move,"X: 1207, Y: 640"
1713544468732,Mouse,Move,"X: 1207, Y: 640"
1713544468833,Mouse,Move,"X: 1207, Y: 640"
1713544468934,Mouse,Move,"X: 1207, Y: 640"
1713544469034,Mouse,Move,"X: 1207, Y: 640"
1713544469135,Mouse,Move,"X: 1207, Y: 640"
1713544469236,Mouse,Move,"X: 1207, Y: 640"
1713544469337,Mouse,Move,"X: 1207, Y: 640"
1713544469437,Mouse,Move,"X: 1207, Y: 640"
1713544469538,Mouse,Move,"X: 1207, Y: 640"
1713544469638,Mouse,Move,"X: 1207, Y: 640"
1713544469738,Mouse,Move,"X: 1091, Y: 792"
1713544469839,Mouse,Move,"X: 1005, Y: 847"
1713544469939,Mouse,Move,"X: 1003, Y: 814"
1713544470040,Mouse,Move,"X: 1002, Y: 802"
1713544470140,Mouse,Move,"X: 1002, Y: 802"
1713544470241,Mouse,Move,"X: 1002, Y: 802"
1713544470285,Mouse,Click,Left
1713544470341,Mouse,Move,"X: 1002, Y: 802"
1713544470441,Mouse,Move,"X: 1002, Y: 787"
1713544470542,Mouse,Move,"X: 1005, Y: 771"
1713544470642,Mouse,Move,"X: 1005, Y: 771"
1713544470743,Mouse,Move,"X: 1005, Y: 771"
1713544470844,Mouse,Move,"X: 1005, Y: 771"
1713544470945,Mouse,Move,"X: 1005, Y: 771"
1713544471045,Mouse,Move,"X: 1005, Y: 771"
1713544471146,Mouse,Move,"X: 1005, Y: 771"
1713544471246,Mouse,Move,"X: 1005, Y: 771"
1713544471347,Mouse,Move,"X: 1005, Y: 771"
1713544471448,Mouse,Move,"X: 1005, Y: 771"
1713544471548,Mouse,Move,"X: 1005, Y: 771"
1713544471648,Mouse,Move,"X: 1005, Y: 771"
1713544471749,Mouse,Move,"X: 1005, Y: 770"
1713544471849,Mouse,Move,"X: 1005, Y: 770"
1713544471949,Mouse,Move,"X: 1005, Y: 770"
1713544472050,Mouse,Move,"X: 833, Y: 657"
1713544472150,Mouse,Move,"X: 879, Y: 661"
1713544472251,Mouse,Move,"X: 771, Y: 627"
1713544472352,Mouse,Move,"X: 623, Y: 559"
1713544472452,Mouse,Move,"X: 609, Y: 549"
1713544472553,Mouse,Move,"X: 609, Y: 530"
1713544472653,Mouse,Move,"X: 569, Y: 502"
1713544472754,Mouse,Move,"X: 568, Y: 502"
1713544472855,Mouse,Move,"X: 568, Y: 502"
1713544472955,Mouse,Move,"X: 569, Y: 502"
1713544472959,Mouse,Click,Left
1713544473056,Mouse,Move,"X: 569, Y: 502"
1713544473157,Mouse,Move,"X: 577, Y: 504"
1713544473257,Mouse,Move,"X: 725, Y: 512"
1713544473357,Mouse,Move,"X: 736, Y: 512"
1713544473458,Mouse,Move,"X: 702, Y: 495"
1713544473559,Mouse,Move,"X: 587, Y: 500"
1713544473659,Mouse,Move,"X: 570, Y: 498"
1713544473760,Mouse,Move,"X: 570, Y: 498"
1713544473860,Mouse,Move,"X: 570, Y: 498"
1713544473961,Mouse,Move,"X: 570, Y: 498"
1713544474044,Mouse,Click,Left
