Time (ms),Device,Action,Details
1725112428291,Mouse,Move,"X: 1781, Y: 66"
1725112428392,Mouse,Move,"X: 1781, Y: 66"
1725112428492,Mouse,Move,"X: 1781, Y: 66"
1725112428593,Mouse,Move,"X: 1781, Y: 66"
1725112428694,Mouse,Move,"X: 1781, Y: 66"
1725112428795,Mouse,Move,"X: 1781, Y: 66"
1725112428896,Mouse,Move,"X: 1781, Y: 66"
1725112428997,Mouse,Move,"X: 1781, Y: 66"
1725112429098,Mouse,Move,"X: 1781, Y: 66"
1725112429199,Mouse,Move,"X: 1781, Y: 66"
1725112429299,Mouse,Move,"X: 1781, Y: 66"
1725112429400,Mouse,Move,"X: 1781, Y: 66"
1725112429500,Mouse,Move,"X: 1781, Y: 66"
1725112429601,Mouse,Move,"X: 1780, Y: 66"
1725112429701,Mouse,Move,"X: 1466, Y: 462"
1725112429802,Mouse,Move,"X: 999, Y: 814"
1725112429902,Mouse,Move,"X: 991, Y: 865"
1725112430003,Mouse,Move,"X: 983, Y: 985"
1725112430104,Mouse,Move,"X: 839, Y: 1079"
1725112430205,Mouse,Move,"X: 840, Y: 1079"
1725112430305,Mouse,Move,"X: 862, Y: 1069"
1725112430405,Mouse,Move,"X: 876, Y: 1065"
1725112430506,Mouse,Move,"X: 893, Y: 1066"
1725112430606,Mouse,Move,"X: 903, Y: 1064"
1725112430707,Mouse,Move,"X: 906, Y: 1062"
1725112430731,Mouse,Click,Left
1725112430808,Mouse,Move,"X: 906, Y: 1062"
1725112430909,Mouse,Move,"X: 906, Y: 1062"
1725112431009,Mouse,Move,"X: 906, Y: 1062"
1725112431109,Mouse,Move,"X: 906, Y: 1062"
1725112431210,Mouse,Move,"X: 955, Y: 974"
1725112431311,Mouse,Move,"X: 1073, Y: 671"
1725112431412,Mouse,Move,"X: 1075, Y: 598"
1725112431513,Mouse,Move,"X: 1036, Y: 797"
1725112431614,Mouse,Move,"X: 958, Y: 893"
1725112431714,Mouse,Move,"X: 895, Y: 964"
1725112431815,Mouse,Move,"X: 844, Y: 996"
1725112431915,Mouse,Move,"X: 844, Y: 990"
1725112432016,Mouse,Move,"X: 850, Y: 979"
1725112432116,Mouse,Move,"X: 850, Y: 978"
1725112432217,Mouse,Move,"X: 850, Y: 978"
1725112432318,Mouse,Move,"X: 850, Y: 978"
1725112432419,Mouse,Move,"X: 850, Y: 978"
1725112432520,Mouse,Move,"X: 850, Y: 978"
1725112432591,Mouse,Click,Left
1725112432620,Mouse,Move,"X: 850, Y: 978"
1725112432721,Mouse,Move,"X: 850, Y: 978"
1725112432821,Mouse,Move,"X: 850, Y: 978"
1725112432922,Mouse,Move,"X: 882, Y: 944"
1725112433022,Mouse,Move,"X: 882, Y: 944"
1725112433123,Mouse,Move,"X: 882, Y: 944"
1725112433224,Mouse,Move,"X: 882, Y: 944"
1725112433325,Mouse,Move,"X: 882, Y: 944"
1725112433425,Mouse,Move,"X: 899, Y: 966"
1725112433526,Mouse,Move,"X: 933, Y: 973"
1725112433627,Mouse,Move,"X: 933, Y: 973"
1725112433727,Mouse,Move,"X: 948, Y: 947"
1725112433828,Mouse,Move,"X: 957, Y: 947"
1725112433928,Mouse,Move,"X: 957, Y: 947"
1725112434029,Mouse,Move,"X: 862, Y: 947"
1725112434129,Mouse,Move,"X: 847, Y: 949"
1725112434230,Mouse,Move,"X: 924, Y: 964"
1725112434330,Mouse,Move,"X: 924, Y: 964"
1725112434430,Mouse,Move,"X: 757, Y: 917"
1725112434531,Mouse,Move,"X: 718, Y: 908"
1725112434632,Mouse,Move,"X: 686, Y: 902"
1725112434732,Mouse,Move,"X: 698, Y: 905"
1725112434832,Mouse,Move,"X: 715, Y: 908"
1725112434932,Mouse,Move,"X: 715, Y: 908"
1725112435033,Mouse,Move,"X: 730, Y: 909"
1725112435134,Mouse,Move,"X: 730, Y: 909"
1725112435235,Mouse,Move,"X: 730, Y: 909"
1725112435335,Mouse,Move,"X: 712, Y: 899"
1725112435435,Mouse,Move,"X: 706, Y: 901"
1725112435535,Mouse,Move,"X: 706, Y: 901"
1725112435635,Mouse,Move,"X: 706, Y: 901"
1725112435736,Mouse,Move,"X: 706, Y: 902"
1725112435836,Mouse,Move,"X: 705, Y: 902"
1725112435937,Mouse,Move,"X: 705, Y: 902"
1725112436038,Mouse,Move,"X: 705, Y: 902"
1725112436139,Mouse,Move,"X: 705, Y: 902"
1725112436239,Mouse,Move,"X: 705, Y: 902"
1725112436339,Mouse,Move,"X: 705, Y: 902"
1725112436439,Mouse,Move,"X: 705, Y: 902"
1725112436540,Mouse,Move,"X: 714, Y: 905"
1725112436640,Mouse,Move,"X: 732, Y: 912"
1725112436741,Mouse,Move,"X: 750, Y: 916"
1725112436842,Mouse,Move,"X: 777, Y: 919"
1725112436943,Mouse,Move,"X: 796, Y: 919"
1725112437043,Mouse,Move,"X: 796, Y: 919"
1725112437143,Mouse,Move,"X: 796, Y: 919"
1725112437244,Mouse,Move,"X: 804, Y: 919"
1725112437344,Mouse,Move,"X: 822, Y: 920"
1725112437444,Mouse,Move,"X: 822, Y: 920"
1725112437545,Mouse,Move,"X: 822, Y: 920"
1725112437645,Mouse,Move,"X: 822, Y: 920"
1725112437746,Mouse,Move,"X: 839, Y: 920"
1725112437847,Mouse,Move,"X: 856, Y: 920"
1725112437948,Mouse,Move,"X: 864, Y: 920"
1725112438049,Mouse,Move,"X: 864, Y: 920"
1725112438150,Mouse,Move,"X: 864, Y: 920"
1725112438250,Mouse,Move,"X: 871, Y: 920"
1725112438351,Mouse,Move,"X: 871, Y: 920"
1725112438452,Mouse,Move,"X: 871, Y: 920"
1725112438553,Mouse,Move,"X: 871, Y: 920"
1725112438654,Mouse,Move,"X: 871, Y: 920"
1725112438754,Mouse,Move,"X: 882, Y: 923"
1725112438854,Mouse,Move,"X: 883, Y: 923"
1725112438955,Mouse,Move,"X: 883, Y: 923"
1725112439056,Mouse,Move,"X: 883, Y: 923"
1725112439157,Mouse,Move,"X: 908, Y: 923"
1725112439257,Mouse,Move,"X: 910, Y: 923"
1725112439358,Mouse,Move,"X: 910, Y: 923"
1725112439459,Mouse,Move,"X: 910, Y: 923"
1725112439559,Mouse,Move,"X: 910, Y: 923"
1725112439659,Mouse,Move,"X: 910, Y: 923"
1725112439760,Mouse,Move,"X: 910, Y: 923"
1725112439861,Mouse,Move,"X: 910, Y: 923"
1725112439962,Mouse,Move,"X: 910, Y: 923"
1725112440062,Mouse,Move,"X: 910, Y: 923"
1725112440163,Mouse,Move,"X: 910, Y: 923"
1725112440264,Mouse,Move,"X: 910, Y: 923"
1725112440365,Mouse,Move,"X: 910, Y: 923"
1725112440465,Mouse,Move,"X: 910, Y: 923"
1725112440565,Mouse,Move,"X: 910, Y: 923"
1725112440665,Mouse,Move,"X: 910, Y: 923"
1725112440766,Mouse,Move,"X: 910, Y: 923"
1725112440866,Mouse,Move,"X: 896, Y: 786"
1725112440967,Mouse,Move,"X: 894, Y: 759"
1725112441067,Mouse,Move,"X: 894, Y: 759"
1725112441168,Mouse,Move,"X: 894, Y: 759"
1725112441269,Mouse,Move,"X: 894, Y: 759"
1725112441369,Mouse,Move,"X: 915, Y: 754"
1725112441469,Mouse,Move,"X: 942, Y: 749"
1725112441570,Mouse,Move,"X: 954, Y: 748"
1725112441671,Mouse,Move,"X: 957, Y: 748"
1725112441772,Mouse,Move,"X: 957, Y: 748"
1725112441872,Mouse,Move,"X: 956, Y: 748"
1725112441973,Mouse,Move,"X: 950, Y: 751"
1725112442073,Mouse,Move,"X: 941, Y: 769"
1725112442174,Mouse,Move,"X: 941, Y: 769"
1725112442274,Mouse,Move,"X: 941, Y: 769"
1725112442375,Mouse,Move,"X: 945, Y: 758"
1725112442475,Mouse,Move,"X: 946, Y: 746"
1725112442576,Mouse,Move,"X: 946, Y: 745"
1725112442677,Mouse,Move,"X: 946, Y: 745"
1725112442777,Mouse,Move,"X: 946, Y: 745"
1725112442877,Mouse,Move,"X: 948, Y: 745"
1725112442978,Mouse,Move,"X: 948, Y: 745"
1725112443078,Mouse,Move,"X: 948, Y: 745"
1725112443178,Mouse,Move,"X: 948, Y: 745"
1725112443279,Mouse,Move,"X: 948, Y: 745"
1725112443379,Mouse,Move,"X: 948, Y: 745"
1725112443480,Mouse,Move,"X: 941, Y: 742"
1725112443581,Mouse,Move,"X: 698, Y: 637"
1725112443682,Mouse,Move,"X: 698, Y: 637"
1725112443782,Mouse,Move,"X: 698, Y: 637"
1725112443882,Mouse,Move,"X: 698, Y: 637"
1725112443983,Mouse,Move,"X: 698, Y: 637"
1725112444084,Mouse,Move,"X: 707, Y: 639"
1725112444185,Mouse,Move,"X: 815, Y: 665"
1725112444286,Mouse,Move,"X: 835, Y: 678"
1725112444386,Mouse,Move,"X: 835, Y: 678"
1725112444486,Mouse,Move,"X: 835, Y: 678"
1725112444587,Mouse,Move,"X: 840, Y: 669"
1725112444687,Mouse,Move,"X: 845, Y: 670"
1725112444787,Mouse,Move,"X: 851, Y: 671"
1725112444888,Mouse,Move,"X: 851, Y: 671"
1725112444989,Mouse,Move,"X: 851, Y: 671"
1725112445089,Mouse,Move,"X: 851, Y: 671"
1725112445189,Mouse,Move,"X: 851, Y: 671"
1725112445289,Mouse,Move,"X: 817, Y: 662"
1725112445390,Mouse,Move,"X: 791, Y: 685"
1725112445491,Mouse,Move,"X: 791, Y: 685"
1725112445592,Mouse,Move,"X: 791, Y: 685"
1725112445693,Mouse,Move,"X: 740, Y: 673"
1725112445793,Mouse,Move,"X: 728, Y: 670"
1725112445893,Mouse,Move,"X: 728, Y: 670"
1725112445993,Mouse,Move,"X: 728, Y: 670"
1725112446094,Mouse,Move,"X: 728, Y: 670"
1725112446195,Mouse,Move,"X: 728, Y: 670"
1725112446296,Mouse,Move,"X: 728, Y: 670"
1725112446396,Mouse,Move,"X: 728, Y: 670"
1725112446497,Mouse,Move,"X: 728, Y: 670"
1725112446598,Mouse,Move,"X: 728, Y: 670"
1725112446699,Mouse,Move,"X: 728, Y: 670"
1725112446799,Mouse,Move,"X: 728, Y: 670"
1725112446899,Mouse,Move,"X: 728, Y: 670"
1725112447000,Mouse,Move,"X: 727, Y: 670"
1725112447100,Mouse,Move,"X: 727, Y: 670"
1725112447201,Mouse,Move,"X: 705, Y: 703"
1725112447301,Mouse,Move,"X: 699, Y: 713"
1725112447401,Mouse,Move,"X: 695, Y: 718"
1725112447502,Mouse,Move,"X: 693, Y: 720"
1725112447603,Mouse,Move,"X: 674, Y: 736"
1725112447704,Mouse,Move,"X: 671, Y: 738"
1725112447804,Mouse,Move,"X: 671, Y: 738"
1725112447905,Mouse,Move,"X: 671, Y: 738"
1725112448005,Mouse,Move,"X: 671, Y: 738"
1725112448106,Mouse,Move,"X: 671, Y: 738"
1725112448207,Mouse,Move,"X: 671, Y: 738"
1725112448308,Mouse,Move,"X: 671, Y: 738"
1725112448408,Mouse,Move,"X: 671, Y: 738"
1725112448509,Mouse,Move,"X: 671, Y: 738"
1725112448609,Mouse,Move,"X: 671, Y: 738"
1725112448710,Mouse,Move,"X: 671, Y: 738"
1725112448810,Mouse,Move,"X: 671, Y: 738"
1725112448911,Mouse,Move,"X: 671, Y: 738"
1725112449012,Mouse,Move,"X: 679, Y: 737"
1725112449113,Mouse,Move,"X: 679, Y: 737"
1725112449214,Mouse,Move,"X: 679, Y: 737"
1725112449315,Mouse,Move,"X: 678, Y: 729"
1725112449415,Mouse,Move,"X: 649, Y: 719"
1725112449516,Mouse,Move,"X: 641, Y: 718"
1725112449617,Mouse,Move,"X: 628, Y: 715"
1725112449717,Mouse,Move,"X: 614, Y: 710"
1725112449817,Mouse,Move,"X: 592, Y: 702"
1725112449918,Mouse,Move,"X: 592, Y: 702"
1725112450019,Mouse,Move,"X: 592, Y: 702"
1725112450120,Mouse,Move,"X: 592, Y: 702"
1725112450220,Mouse,Move,"X: 567, Y: 699"
1725112450321,Mouse,Move,"X: 542, Y: 698"
1725112450421,Mouse,Move,"X: 505, Y: 698"
1725112450521,Mouse,Move,"X: 504, Y: 698"
1725112450622,Mouse,Move,"X: 504, Y: 698"
1725112450723,Mouse,Move,"X: 504, Y: 698"
1725112450823,Mouse,Move,"X: 504, Y: 698"
1725112450924,Mouse,Move,"X: 504, Y: 698"
1725112451025,Mouse,Move,"X: 626, Y: 725"
1725112451126,Mouse,Move,"X: 652, Y: 729"
1725112451227,Mouse,Move,"X: 659, Y: 732"
1725112451327,Mouse,Move,"X: 659, Y: 732"
1725112451428,Mouse,Move,"X: 651, Y: 730"
1725112451529,Mouse,Move,"X: 649, Y: 729"
1725112451630,Mouse,Move,"X: 649, Y: 729"
1725112451730,Mouse,Move,"X: 649, Y: 729"
1725112451831,Mouse,Move,"X: 649, Y: 729"
1725112451931,Mouse,Move,"X: 652, Y: 729"
1725112452032,Mouse,Move,"X: 658, Y: 731"
1725112452133,Mouse,Move,"X: 669, Y: 733"
1725112452233,Mouse,Move,"X: 669, Y: 733"
1725112452333,Mouse,Move,"X: 669, Y: 733"
1725112452434,Mouse,Move,"X: 669, Y: 733"
1725112452535,Mouse,Move,"X: 669, Y: 733"
1725112452635,Mouse,Move,"X: 669, Y: 733"
1725112452735,Mouse,Move,"X: 669, Y: 733"
1725112452836,Mouse,Move,"X: 669, Y: 733"
1725112452937,Mouse,Move,"X: 669, Y: 733"
1725112453038,Mouse,Move,"X: 669, Y: 733"
1725112453138,Mouse,Move,"X: 669, Y: 733"
1725112453239,Mouse,Move,"X: 669, Y: 733"
1725112453339,Mouse,Move,"X: 669, Y: 733"
1725112453440,Mouse,Move,"X: 669, Y: 733"
1725112453540,Mouse,Move,"X: 669, Y: 733"
1725112453641,Mouse,Move,"X: 669, Y: 733"
1725112453742,Mouse,Move,"X: 669, Y: 733"
1725112453843,Mouse,Move,"X: 669, Y: 733"
1725112453944,Mouse,Move,"X: 669, Y: 733"
1725112454044,Mouse,Move,"X: 669, Y: 733"
1725112454144,Mouse,Move,"X: 669, Y: 733"
1725112454245,Mouse,Move,"X: 669, Y: 733"
1725112454345,Mouse,Move,"X: 669, Y: 733"
1725112454446,Mouse,Move,"X: 669, Y: 733"
1725112454547,Mouse,Move,"X: 669, Y: 733"
1725112454647,Mouse,Move,"X: 669, Y: 733"
1725112454747,Mouse,Move,"X: 669, Y: 733"
1725112454847,Mouse,Move,"X: 669, Y: 733"
1725112454948,Mouse,Move,"X: 669, Y: 733"
1725112455048,Mouse,Move,"X: 669, Y: 733"
1725112455148,Mouse,Move,"X: 669, Y: 733"
1725112455249,Mouse,Move,"X: 669, Y: 733"
1725112455349,Mouse,Move,"X: 669, Y: 733"
1725112455449,Mouse,Move,"X: 669, Y: 733"
1725112455550,Mouse,Move,"X: 669, Y: 733"
1725112455651,Mouse,Move,"X: 669, Y: 733"
1725112455752,Mouse,Move,"X: 669, Y: 733"
1725112455852,Mouse,Move,"X: 669, Y: 733"
1725112455953,Mouse,Move,"X: 669, Y: 733"
1725112456054,Mouse,Move,"X: 669, Y: 733"
1725112456154,Mouse,Move,"X: 669, Y: 733"
1725112456255,Mouse,Move,"X: 669, Y: 733"
1725112456355,Mouse,Move,"X: 669, Y: 733"
1725112456456,Mouse,Move,"X: 669, Y: 733"
1725112456556,Mouse,Move,"X: 669, Y: 733"
1725112456657,Mouse,Move,"X: 669, Y: 733"
1725112456758,Mouse,Move,"X: 669, Y: 733"
1725112456859,Mouse,Move,"X: 669, Y: 733"
1725112456960,Mouse,Move,"X: 669, Y: 733"
1725112457060,Mouse,Move,"X: 669, Y: 733"
1725112457161,Mouse,Move,"X: 669, Y: 733"
1725112457262,Mouse,Move,"X: 669, Y: 733"
1725112457362,Mouse,Move,"X: 669, Y: 733"
