timestamp,action
00:00:00,start
00:00:01,contract_start
00:00:04,walk_start
00:00:09,walk_end
00:00:11,conversation_start
00:00:32,conversation_end
00:00:39,walk_start
00:00:27,walk_end
00:02:28,fight_start
00:02:57,fight_end
00:02:58,walk_start
00:03:53,walk_end
00:03:54,fight_start
00:04:09,fight_end
00:04:36,inventory_start
00:04:54,inventory_end
00:04:55,walk_start
00:05:13,walk_end
00:05:14,conversation_start
00:05:36,conversation_end
00:05:44,inventory_start
00:09:35,inventory_end
00:09:36,walk_start
00:09:43,walk_end
00:09:44,map_start
00:09:50,map_end
00:09:51,loading_start
00:10:15,loading_end
00:10:16,walk_start
00:10:30,walk_end
00:10:31,inventory_start
00:11:24,inventory_end
00:11:25,walk_start
00:11:30,walk_end
00:11:31,inventory_start
00:11:37,inventory_end
00:11:38,walk_start
00:11:46,walk_end
00:11:48,map_start
00:11:54,map_end
00:11:55,loading_start
00:12:08,loading_end
00:12:09,walk_start
00:12:26,walk_end
00:12:27,inventory_start
00:12:41,inventory_end
00:12:45,conversation_start
00:14:24,conversation_end
00:14:25,walk_start
00:14:42,walk_end
00:14:43,map_start
00:14:46,map_end
00:14:47,loading_start
00:15:08,loading_end
00:15:09,walk_start
00:15:16,walk_end
00:15:17,conversation_start
00:17:35,conversation_end
00:17:36,walk_start
00:17:42,walk_end
00:17:45,map_start
00:18:36,map_end
00:18:37,loading_start
00:19:16,loading_end
00:19:18,walk_start
00:19:40,walk_end
00:19:41,map_start
00:19:47,map_end
00:19:48,loading_start
00:20:01,loading_end
00:20:06,walk_start
00:21:21,walk_end
00:22:08,walk_start
00:24:07,walk_end
00:24:08,fight_start
00:24:17,fight_end
00:24:18,walk_start
00:24:42,walk_end
00:24:43,conversation_start
00:25:49,conversation_end
00:25:50,walk_start
00:26:10,walk_end
00:26:11,fight_start
00:27:26,fight_end
00:27:30,conversation_start
00:27:47,conversation_end
00:27:48,walk_start
00:28:35,walk_end
00:28:36,conversation_start
00:28:53,conversation_end
00:28:54,walk_start
00:29:01,walk_end
00:29:02,fight_start
00:29:25,fight_end
00:29:26,walk_start
00:30:17,walk_end
00:30:18,fight_start
00:30:44,fight_end
00:30:45,walk_start
00:32:12,walk_end
00:32:14,fight_start
00:32:48,fight_end
00:32:49,walk_start
00:33:24,walk_end
00:33:25,fight_start
00:33:46,fight_end
00:33:47,walk_start
00:33:56,walk_end
00:33:57,inventory_start
00:34:01,inventory_end
