Key,Event Type,Timestamp
w,down,1703596403238
w,down,1703596403750
w,down,1703596403782
w,down,1703596403814
w,down,1703596403846
w,down,1703596403878
w,down,1703596403909
w,down,1703596403940
w,down,1703596403971
w,down,1703596404002
w,down,1703596404050
w,down,1703596404082
w,down,1703596404114
w,down,1703596404145
w,down,1703596404176
w,down,1703596404208
w,down,1703596404239
w,down,1703596404271
w,down,1703596404302
w,down,1703596404333
w,down,1703596404380
w,down,1703596404412
w,down,1703596404443
w,down,1703596404475
w,down,1703596404507
w,down,1703596404539
w,down,1703596404571
shift,down,1703596404599
shift,down,1703596405108
shift,down,1703596405140
shift,down,1703596405172
shift,down,1703596405203
shift,down,1703596405235
shift,down,1703596405267
shift,down,1703596405299
shift,down,1703596405331
shift,down,1703596405378
shift,down,1703596405409
shift,down,1703596405441
shift,down,1703596405472
shift,down,1703596405504
shift,down,1703596405535
shift,down,1703596405566
shift,down,1703596405598
shift,down,1703596405630
shift,down,1703596405662
shift,down,1703596405708
shift,down,1703596405740
shift,down,1703596405770
shift,down,1703596405800
shift,down,1703596405830
shift,down,1703596405861
shift,down,1703596405892
shift,down,1703596405939
shift,down,1703596405971
shift,down,1703596406003
shift,down,1703596406035
shift,down,1703596406067
shift,down,1703596406098
shift,down,1703596406129
shift,down,1703596406160
shift,down,1703596406192
shift,down,1703596406224
shift,down,1703596406256
shift,down,1703596406288
shift,down,1703596406335
shift,down,1703596406366
shift,down,1703596406398
shift,down,1703596406429
shift,down,1703596406461
shift,down,1703596406493
shift,down,1703596406525
shift,down,1703596406557
shift,down,1703596406587
shift,down,1703596406619
shift,down,1703596406651
shift,down,1703596406697
shift,down,1703596406729
shift,down,1703596406760
shift,down,1703596406792
shift,down,1703596406823
shift,down,1703596406855
shift,down,1703596406887
shift,down,1703596406918
shift,down,1703596406950
shift,down,1703596406982
shift,down,1703596407029
shift,down,1703596407060
shift,down,1703596407092
shift,down,1703596407123
shift,down,1703596407154
shift,down,1703596407185
shift,down,1703596407217
shift,down,1703596407248
shift,down,1703596407279
shift,down,1703596407311
shift,down,1703596407358
shift,down,1703596407390
shift,down,1703596407422
shift,down,1703596407454
shift,down,1703596407486
shift,down,1703596407518
shift,down,1703596407550
shift,down,1703596407582
shift,down,1703596407614
shift,down,1703596407645
shift,down,1703596407677
shift,down,1703596407709
shift,down,1703596407740
shift,down,1703596407787
shift,down,1703596407818
shift,down,1703596407849
shift,down,1703596407881
shift,down,1703596407912
shift,down,1703596407944
shift,down,1703596407975
shift,down,1703596408006
shift,down,1703596408037
shift,down,1703596408085
shift,down,1703596408117
shift,down,1703596408149
shift,down,1703596408181
shift,down,1703596408212
shift,down,1703596408243
shift,down,1703596408274
shift,down,1703596408305
shift,down,1703596408337
shift,down,1703596408367
shift,down,1703596408415
shift,down,1703596408447
shift,down,1703596408479
shift,down,1703596408509
shift,down,1703596408541
shift,down,1703596408573
shift,down,1703596408605
shift,down,1703596408637
shift,down,1703596408669
shift,down,1703596408699
shift,down,1703596408731
shift,down,1703596408763
shift,down,1703596408809
shift,down,1703596408841
shift,down,1703596408873
shift,down,1703596408904
shift,down,1703596408935
shift,down,1703596408967
shift,down,1703596408999
shift,down,1703596409031
shift,down,1703596409062
shift,down,1703596409093
shift,down,1703596409141
shift,down,1703596409173
shift,down,1703596409205
shift,down,1703596409237
shift,down,1703596409269
shift,down,1703596409301
shift,down,1703596409333
shift,down,1703596409365
shift,down,1703596409395
shift,down,1703596409427
shift,down,1703596409459
shift,down,1703596409491
shift,down,1703596409523
shift,down,1703596409569
shift,down,1703596409601
shift,down,1703596409633
shift,down,1703596409665
shift,down,1703596409697
shift,down,1703596409728
shift,down,1703596409759
shift,down,1703596409791
shift,down,1703596409823
shift,down,1703596409855
shift,down,1703596409887
shift,down,1703596409919
shift,down,1703596409951
shift,down,1703596409997
shift,down,1703596410029
shift,down,1703596410059
shift,down,1703596410091
shift,down,1703596410122
shift,down,1703596410153
shift,down,1703596410185
shift,down,1703596410217
shift,down,1703596410249
shift,down,1703596410281
shift,down,1703596410327
shift,down,1703596410359
shift,down,1703596410391
shift,down,1703596410422
shift,down,1703596410453
shift,down,1703596410484
shift,down,1703596410515
shift,down,1703596410547
shift,down,1703596410593
shift,down,1703596410623
shift,down,1703596410655
shift,down,1703596410687
shift,down,1703596410719
shift,down,1703596410751
shift,down,1703596410783
shift,down,1703596410815
shift,down,1703596410845
shift,down,1703596410877
shift,down,1703596410908
shift,down,1703596410955
shift,down,1703596410987
shift,down,1703596411019
shift,down,1703596411051
shift,down,1703596411083
shift,down,1703596411115
shift,down,1703596411145
shift,down,1703596411177
shift,down,1703596411209
shift,down,1703596411241
shift,down,1703596411273
shift,down,1703596411305
shift,down,1703596411337
shift,down,1703596411385
shift,down,1703596411416
shift,down,1703596411447
shift,down,1703596411479
shift,down,1703596411511
shift,down,1703596411543
shift,down,1703596411575
shift,down,1703596411607
shift,down,1703596411637
shift,down,1703596411669
shift,down,1703596411701
shift,down,1703596411733
shift,down,1703596411779
shift,down,1703596411809
shift,down,1703596411841
shift,down,1703596411873
shift,down,1703596411905
shift,down,1703596411937
shift,down,1703596411968
shift,down,1703596411999
